"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000003",0.171568715207062,-1.02604541037965,3.80550342492604,-0.269621465496276,0.78745148465844,NA
"FBgn0000008",95.1440789963134,-0.00215142369234233,0.223883804763354,-0.00960955480730905,0.992332802585937,0.996927101169826
"FBgn0000014",1.05657219346166,0.496735568508575,2.16026425868258,0.229942039040865,0.818136808995085,NA
"FBgn0000015",0.846723274987709,1.88276170250691,2.10643223455285,0.89381546276355,0.371420634541039,NA
"FBgn0000017",4352.5928987935,0.240025230003091,0.12602432152535,1.90459450285404,0.0568328017186868,0.282361133751525
"FBgn0000018",418.614930505122,0.104799112236754,0.148280289958417,0.706763604698531,0.479713395567296,0.823907261928726
"FBgn0000022",0.0796749105101127,0.719763685204581,3.81458895662518,0.188687088802712,0.850338071459213,NA
"FBgn0000024",6.40628919476961,-0.210807084269596,0.690348536439067,-0.305363266730418,0.760089495426205,NA
"FBgn0000028",0.438900024085016,-1.41421471082306,2.77952373312973,-0.508797494321323,0.610894175920931,NA
"FBgn0000032",989.730032286706,0.0919050485188788,0.147697433758321,0.622252169047595,0.533776067072864,0.849773949167454
"FBgn0000036",0.589596332729872,0.0654492210375917,2.30477082891575,0.0283972793374783,0.977345294101874,NA
"FBgn0000037",14.0948138653578,-0.463068060192619,0.49140258272752,-0.942339492035979,0.346018855202972,0.740909424197154
"FBgn0000038",0,NA,NA,NA,NA,NA
"FBgn0000039",0.438900024085016,-1.41421471082306,2.77952373312973,-0.508797494321323,0.610894175920931,NA
"FBgn0000042",82207.7246355838,-0.314524848355407,0.14054152785262,-2.23794954531329,0.0252243455580271,0.16453152670804
"FBgn0000043",31162.0800981548,-0.619578732154934,0.123317574092066,-5.02425332898919,5.05394905748933e-07,1.72393516415917e-05
"FBgn0000044",27.0142162829088,-0.414972810164965,0.414720947459118,-1.0006073064488,0.317016696343978,0.719312526854823
"FBgn0000045",6.49768786824646,-0.152661935209396,0.713899930094798,-0.213842205012016,0.830670111289613,NA
"FBgn0000046",23.6865655871929,-0.60423854767324,0.461037057263147,-1.31060733221789,0.189990460757688,0.569014251488389
"FBgn0000047",9.27446768376142,-0.682066956504616,0.658141000354019,-1.03635384535795,0.300037094355591,0.702842677866423
"FBgn0000052",2342.87838063352,0.135495999150113,0.136696700520839,0.991216310516997,0.32157996785467,0.721371475392309
"FBgn0000053",2100.27876868186,-0.296060124559072,0.137257340659383,-2.15697115459765,0.0310079120504161,0.189346186350413
"FBgn0000054",654.288209497534,0.119920698613203,0.118496314269428,1.01202049492051,0.311528254199051,0.713127135589954
"FBgn0000055",0.0873436769465381,-0.900294226591479,3.81016488296462,-0.236287471604372,0.813209607942473,NA
"FBgn0000056",0,NA,NA,NA,NA,NA
"FBgn0000057",682.648317882294,0.0235498507919988,0.121581340910401,0.193696258123635,0.846413721942696,0.963157296464076
"FBgn0000061",1.57835265432906,-0.310106426877429,1.48005727862269,-0.209523260590298,0.834039779012164,NA
"FBgn0000063",404.771774959063,-0.205592739603595,0.129916344856592,-1.5825009534446,0.113535254830046,0.430327914177042
"FBgn0000064",7917.16080656924,-0.299544253664888,0.103456682452,-2.89535916448765,0.00378724930684524,0.0392334605850617
"FBgn0000071",342.2384071951,-2.67958365080611,0.182611754735214,-14.6736646536884,9.50687340827364e-49,8.79174526411794e-46
"FBgn0000075",2.0524421521127,0.41431661830491,1.20415946953051,0.344071220455916,0.730792725772789,NA
"FBgn0000077",224.199083286086,0.0559650588755235,0.156728955624011,0.357081808225548,0.721030562870802,0.927123162077302
"FBgn0000078",29.0157817140274,1.02026003036567,0.397263629044244,2.56821907613405,0.0102222529872791,0.0861131696489106
"FBgn0000079",159.515293800957,1.06709582155968,0.354053870769448,3.01393632342053,0.00257881925395987,0.0289265669147008
"FBgn0000083",5442.63170454361,0.00828809271690211,0.134450902930015,0.0616440093467893,0.950846329172039,0.989665124730515
"FBgn0000084",1695.91002088768,0.148623275155621,0.170432736790035,0.872034786008967,0.383189400759206,0.765000091753147
"FBgn0000092",12.6128982724471,-0.753564351519572,0.497203126019452,-1.51560662450479,0.129618850991936,0.463608808253496
"FBgn0000094",21.0900088710877,-0.452451865408788,0.452641769104751,-0.999580454768153,0.317513585781602,0.719312526854823
"FBgn0000097",3047.82384416528,-0.00704291914904393,0.121621870319152,-0.0579083279229497,0.953821649532928,0.990351495641537
"FBgn0000099",1.6717340460854,0.442704651661914,1.43490295969388,0.308525847459649,0.757682235429052,NA
"FBgn0000100",25406.8374384528,0.161214186381361,0.130427071803087,1.23604849938481,0.216440536465301,0.603697917225435
"FBgn0000108",50.0739541500761,-0.205864541838238,0.37105492492962,-0.554808811329712,0.579025439583932,0.866300329616586
"FBgn0000109",132.528164098497,0.240012844843616,0.280810968787112,0.854713211098155,0.392709934982253,0.769806129302605
"FBgn0000114",3.69120564589978,0.014860700683108,1.0891990174177,0.0136436963727163,0.989114243044403,NA
"FBgn0000115",572.481675889813,-0.063957227260668,0.119346116826911,-0.535897010821272,0.592029730469158,0.873578637535792
"FBgn0000116",658.392246950606,-1.29078588445827,0.189937542943797,-6.79584385715794,1.07680354833546e-11,8.61753455076544e-10
"FBgn0000117",10812.682313563,-0.156734041118805,0.11652951410004,-1.34501582993172,0.178620122582245,0.549621731302511
"FBgn0000119",643.493604010952,0.105325583400089,0.119175976283046,0.883782006114534,0.376813901654398,0.761221415892186
"FBgn0000120",0,NA,NA,NA,NA,NA
"FBgn0000121",9.0803732161961,-0.0817995868671232,0.616227523037856,-0.13274250793582,0.894397023845983,0.977939313675851
"FBgn0000137",0.0873436769465381,-0.900294226591479,3.81016488296462,-0.236287471604372,0.813209607942473,NA
"FBgn0000139",647.194002893582,0.403365732473694,0.112238700316245,3.5938204143238,0.000325864480191329,0.00526634964782996
"FBgn0000140",946.001367635104,-0.0718790076681954,0.144463458300675,-0.497558403444781,0.618795328547532,0.88708611834677
"FBgn0000142",1905.92194472857,0.0986950845658029,0.107085041479242,0.921651457593494,0.356710408396695,0.746800370914319
"FBgn0000146",1576.30641475813,-0.490157617872185,0.099634715621307,-4.91954651363871,8.67449532793418e-07,2.86013003012463e-05
"FBgn0000147",415.443457019284,-0.419669830003647,0.139503732356936,-3.00830539020902,0.00262708998343365,0.0293493556135816
"FBgn0000150",8947.89987679134,-0.277537418232654,0.144274551580573,-1.92367548671712,0.0543952725295224,0.275551949642857
"FBgn0000152",510.941052499106,-0.136056985682332,0.141819367385972,-0.959368160993439,0.337373308796106,0.733751387654643
"FBgn0000153",24.8029621201495,0.195180312242001,0.411798201138154,0.473970774283494,0.635520748316801,0.895604332583937
"FBgn0000157",0.284854336053305,1.66858963845919,3.6156649618242,0.461489008543906,0.644447805420203,NA
"FBgn0000158",6.04274854909531,-0.127613564832979,0.701597205205648,-0.181890070094527,0.855668997425828,NA
"FBgn0000163",896.117248934645,0.121624718760593,0.154944937709787,0.784954452583646,0.432480274052121,0.795125540299493
"FBgn0000166",8.04614313802891,0.0158868361304303,0.703317274748033,0.0225884344105181,0.98197856947872,0.995009451396565
"FBgn0000171",6836.91863140907,0.029380872750683,0.162676456393675,0.180609249807984,0.856674294991736,0.966475435637635
"FBgn0000173",1545.76153518692,-0.153717759444054,0.11927670013439,-1.28874926344255,0.197485269857745,0.577943003173703
"FBgn0000179",1.06412667893113,-0.803687496115539,1.84746163824554,-0.43502256256794,0.663546050346724,NA
"FBgn0000180",27.406851861645,-0.397327510210423,0.400187290740089,-0.992853894674224,0.320781160999687,0.721371475392309
"FBgn0000181",13451.8877259857,0.166771093079441,0.100921023999208,1.65249109125913,0.0984344797443213,0.394177388725643
"FBgn0000182",3.81786308209388,0.205920891957812,0.914310499177766,0.225219870211482,0.821808232315892,NA
"FBgn0000183",2642.64636343421,0.0134256765585834,0.0844951286456914,0.158892906298546,0.87375324964768,0.972571672549108
"FBgn0000206",0,NA,NA,NA,NA,NA
"FBgn0000210",1573.20060566926,-0.0341015687201666,0.15332558330029,-0.222412776694795,0.823992566529774,0.96091096748925
